client_id,district_id,birth_date,gender,age
1,18,1970-12-13,0.0,28
2,1,1945-02-04,1.0,53
3,1,1940-10-09,0.0,58
4,5,1956-12-01,1.0,42
5,5,1960-07-03,0.0,38
6,12,1919-09-22,1.0,79
7,15,1929-01-25,1.0,69
8,51,1938-02-21,0.0,60
9,60,1935-10-16,1.0,63
10,57,1943-05-01,1.0,55
11,57,1950-08-22,0.0,48
12,40,1981-02-20,1.0,17
13,54,1974-05-29,0.0,24
14,76,1942-06-22,0.0,56
15,21,1918-08-28,0.0,80
16,21,1919-02-25,1.0,79
17,76,1934-10-13,1.0,64
18,76,1931-04-05,0.0,67
19,47,1942-12-28,1.0,56
20,46,1979-01-04,1.0,19
21,12,1952-10-29,0.0,46
22,1,1969-10-11,0.0,29
23,1,1973-05-29,1.0,25
24,43,1939-07-29,0.0,59
25,21,1939-04-23,0.0,59
26,74,1969-04-20,0.0,29
27,54,1966-03-26,0.0,32
28,1,1945-09-29,1.0,53
29,30,1951-09-11,0.0,47
30,74,1957-10-09,0.0,41
31,68,1962-02-09,1.0,36
32,52,1980-07-28,1.0,18
33,73,1948-12-04,0.0,50
36,7,1978-07-17,0.0,20
37,7,1970-08-10,1.0,28
38,36,1973-07-23,0.0,25
39,68,1968-01-25,1.0,30
40,5,1957-01-22,0.0,41
41,22,1968-08-27,1.0,30
42,68,1935-08-17,1.0,63
43,75,1920-10-28,1.0,78
44,38,1977-01-11,0.0,21
45,20,1952-08-26,1.0,46
46,19,1940-01-30,0.0,58
47,76,1934-07-14,1.0,64
48,16,1940-02-09,1.0,58
49,72,1959-05-11,0.0,39
50,39,1978-07-30,0.0,20
51,36,1979-12-02,0.0,19
52,32,1924-12-12,1.0,74
53,64,1977-05-05,1.0,21
55,45,1948-09-18,0.0,50
56,21,1960-03-31,1.0,38
57,21,1961-12-17,0.0,37
58,1,1927-04-29,0.0,71
59,1,1957-02-18,1.0,41
60,67,1980-02-19,1.0,18
61,16,1948-08-06,0.0,50
62,77,1932-12-08,1.0,66
63,4,1959-06-04,1.0,39
64,20,1926-04-22,1.0,72
65,50,1943-05-27,0.0,55
66,1,1951-11-10,0.0,47
67,29,1932-11-11,0.0,66
68,43,1946-12-14,1.0,52
70,70,1925-12-22,1.0,73
71,70,1927-02-06,0.0,71
72,47,1923-01-13,1.0,75
73,22,1924-02-20,1.0,74
74,22,1925-07-26,0.0,73
75,64,1977-09-19,0.0,21
76,36,1967-10-01,0.0,31
77,1,1956-02-18,0.0,42
78,16,1944-06-13,0.0,54
79,37,1969-03-10,0.0,29
80,64,1979-02-25,0.0,19
